作品名,映画ID,年,公開日,興収(億円),区分,配給会社,あらすじ,監督,脚本,キャスト,脚本家,プロデューサー,コピーライト,,,
ネムルバカ,102465,2025,2025/3/20,0.2,邦画,ポニーキャニオン,"「ベイビーわるきゅーれ」シリーズの阪元裕吾監督が、漫画家・石黒正数の同名青春コミックを実写映画化。

大学の女子寮で同じ部屋に住む後輩・入巣柚実と先輩・鯨井ルカ。ルカはインディーズバンド「ピートモス」のギター＆ボーカルとして夢を追っているが、入巣は特に夢や目標のないまま、古本屋で何となくアルバイトする日々を過ごしている。2人は安い居酒屋で飲んだり、暇つぶしに古い海外ドラマを観たりと、緩く心地よい同居生活を送っていた。そんなある日、ルカに大手音楽レコード会社から声が掛かったことで、2人の日常は大きく変わりはじめる。

アイドルグループ「乃木坂46」の久保史緒里が入巣役、「恋は光」の平祐奈がルカ役でダブル主演を務め、入巣の大学の同級生・田口を綱啓永、田口の友人・伊藤を樋口幸平、入巣のアルバイト先の先輩・仲崎をお笑いコンビ「ロングコートダディ」の兎が演じる。原作者・石黒正数が主題歌「ネムルバカ」の歌詞を手がけ、原作にも登場する歌詞を踏まえつつ新たな歌詞を書きおろした。",阪元裕吾,石黒正数,"久保史緒里, 平祐奈, 綱啓永, 樋口幸平, 兎, 儀間陽柄, 高尾悠希, 長谷川大, 志田こはく, 伊能昌幸, 山下徳久, 水澤紳吾, 吉沢悠, かいばしら, 稗田寧々, 立花日菜, 岩田陽葵",皐月彩,寺田悠輔,(C)石黒正数・徳間書店／映画「ネムルバカ」製作委員会,,,
BAUS 映画から船出した映画館,101064,2025,2025/3/21,0,邦画,boid、コピアポア・フィルム,"2014年に惜しまれながらも閉館した映画館・吉祥寺バウスシアターをめぐる歴史と家族の物語を描いたドラマ。1925年に吉祥寺に初めて誕生した映画館・井の頭会館が、ムサシノ映画劇場、バウスシアターへと形を変えながら、多くの人々に愛される文化の交差点になっていく長い道のりを描く。

1927年。活動写真に魅了されて青森から上京した兄弟ハジメとサネオは、吉祥寺初の映画館・井の頭会館で働きはじめる。兄ハジメは活弁士、弟サネオは社長として劇場のさらなる発展を目指すが、戦争の足音がすぐそこまで迫っていた。

染谷将太がサネオ役で主演を務め、兄ハジメをロックバンド「銀杏BOYZ」の峯田和伸、サネオの妻となる女性ハマを夏帆が演じた。バウスシアター元館主・本田拓夫の著書「吉祥寺に育てられた映画館　イノカン・MEG・バウス　吉祥寺っ子映画館三代記」を原作に、2022年に逝去した青山真治監督があたためていた脚本を、青山監督の教え子でもある「はだかのゆめ」の甫木元空監督が引き継いで執筆し、メガホンをとって完成させた。大友良英が音楽を担当。",甫木元空,本田拓夫,"染谷将太, 峯田和伸, 夏帆, 渋谷そらじ, 伊藤かれん, 斉藤陽一郎, 川瀬陽太, 井手健介, 吉岡睦雄, 奥野瑛太, 黒田大輔, テイ龍進, 新井美羽, 金田静奈, 松田弘子, とよた真帆, 光石研, 橋本愛, 鈴木慶一",青山真治,樋口泰人,(C)本田プロモーションBAUS／boid,,,
山田くんとLv999の恋をする,102834,2025,2025/3/28,2.8,邦画,KADOKAWA,"マンガアプリ「GANMA！」にて連載され、2023年にはテレビアニメ化もされた大ヒット恋愛コミック「山田くんとLv999の恋をする」を実写映画化したラブコメディ。

恋人から別れを告げられたばかりの大学生・木之下茜は、オンラインゲーム「Forest Of Savior」を通じて、超塩対応の高校生プロゲーマー・山田秋斗と出会う。いつもは無愛想なのに、ふとした時に無自覚な優しさを見せる山田に徐々にひかれていく茜。しかし山田は恋愛に興味がないにも関わらず周囲からモテまくってしまうという、恋愛相手として攻略するには最高難度の“強敵”だった。

「うちの弟どもがすみません」の作間龍斗が山田役、「六人の嘘つきな大学生」の山下美月が茜役でそれぞれ主演を務め、シンガーソングライターのNOA、テレビドラマ「からかい上手の高木さん」の月島琉衣、お笑いコンビ「空気階段」の鈴木もぐら、「サマーフィルムにのって」の甲田まひるが共演。「よだかの片想い」の安川有果監督がメガホンをとり、「キャラクター」の川原杏奈が脚本を担当。",安川有果,ましろ,"作間龍斗, 山下美月, NOA, 月島琉衣, 鈴木もぐら, 甲田まひる, 茅島みずき, 前田旺志郎, 水川かたまり, 内山昂輝, 水瀬いのり, 加隈亜衣, 土屋李央",川原杏奈,高木智香,(C)ましろ／COMICSMART INC. (C)2025「山田くんとLv999の恋をする」製作委員会,,,
BETTER MAN ベター・マン,102902,2025,2025/3/28,1.1,洋画,東和ピクチャーズ,"「グレイテスト・ショーマン」のマイケル・グレイシー監督が、イギリスの世界的ポップ歌手ロビー・ウィリアムズの波乱に満ちた人生を、斬新な映像表現でミュージカル映画化。主人公ロビー・ウィリアムズを猿の姿で表現するという奇想天外なアイデアと幻想的な世界観、そして圧巻のミュージカルシーンでダイナミックに描きだす。

イギリス北部の街に生まれ、祖母の大きな愛に包まれながら育ったロビー・ウィリアムズ。1990年代初頭にボーイズグループ「テイク・ザット」のメンバーとしてデビューし、ポップスターの道を駆けあがっていく。グループ脱退後もソロアーティストとして活躍し、イギリスのポップス界を代表する存在へと成長。しかしその裏には、名声と成功がもたらす大きな試練が立ちはだかっていた。

「グレイテスト・ショーマン」のアシュレイ・ウォーレンが振付を担当。本作のために制作された楽曲「Forbidden Road」をはじめ、ウィリアムズの名曲の数々が物語を彩る。2025年・第97回アカデミー賞で視覚効果賞にノミネート。",マイケル・グレイシー,,"ロビー・ウィリアムズ, ジョノ・デイビス, スティーブ・ペンバートン, アリソン・ステッドマン, デイモン・ヘリマン, ケイト・マルバニー, ラシェル・バンノ, フレイザー・ハドフィールド, トム・バッジ, ジェイク・シマンス, ジェシー・ハイド, リアム・ヘッド, チェイス・ボレンワイダー, アンソニー・ヘイズ, カリーナ・バンノ",シモン・グリーソン,,(C)2024 PARAMOUNT PICTURES. All rights reserved.,,,
エミリア・ペレス,101586,2025,2025/3/28,0.6,洋画,ギャガ,"「ディーパンの闘い」「君と歩く世界」「預言者」などでフランスを代表する名匠として知られるジャック・オーディアールが手がけ、2024年・第77回カンヌ国際映画祭で審査員賞と4人の俳優が女優賞を受賞した作品。メキシコの麻薬カルテルのボスが過去を捨て、性別適合手術を受けて女性として新たな人生を歩みはじめたことから起こる出来事を、クライム、コメディ、ミュージカルなどさまざまなジャンルを交えて描いた。

メキシコシティの弁護士リタは、麻薬カルテルのボスであるマニタスから「女性としての新たな人生を用意してほしい」という極秘の依頼を受ける。リタは完璧な計画を立て、マニタスが性別適合手術を受けるにあたって生じるさまざまな問題をクリアし、マニタスは無事に過去を捨てて姿を消すことに成功する。それから数年後、イギリスで新たな人生を歩んでいたリタの前に、エミリア・ペレスという女性として生きるマニタスが現れる。それをきっかけに、彼女たちの人生が再び動き出す。

カンヌ国際映画祭ではアドリアーナ・パス、ゾーイ・サルダナ、カルラ・ソフィア・ガスコン、セレーナ・ゴメスの4人が女優賞を受賞。特にエミリア・ペレス／マニタス役を演じたカルラ・ソフィア・ガスコンは、カンヌ国際映画祭において初めてトランスジェンダー俳優として女優賞を受賞した。第97回アカデミー賞でも作品賞や国際長編映画賞をはじめ、非英語作品としては史上最多となる12部門13ノミネートを果たし、助演女優賞（ゾーイ・サルダナ）と主題歌賞の2部門を受賞した。カルラ・ソフィア・ガスコンもトランスジェンダー俳優として初の主演女優賞ノミネートとなった。",ジャック・オーディアール,ボリス・ラゾン,"ゾーイ・サルダナ, カルラ・ソフィア・ガスコン, セレーナ・ゴメス, アドリアーナ・パス, エドガー・ラミレス, マーク・イバニール",ジャック・オーディアール,,(C)2024 PAGE 114 – WHY NOT PRODUCTIONS – PATHE FILMS - FRANCE 2 CINEMACOPYRIGHT PHOTO : (C)Shanna Besson,,,
怪獣8号 第1期総集編保科の休日,102222,2025,2025/3/28,0.5,邦画,TOHO NEXT,"集英社のマンガ誌アプリ「少年ジャンプ＋」連載の松本直也による同名漫画を原作とする2024年放送のテレビアニメ「怪獣8号」の第1期を再編集し劇場公開。

怪獣大国日本。清掃の仕事をする日比野カフカは、日本防衛隊の隊長として活躍する幼なじみの亜白ミナとの再会をきっかけに、諦めていた防衛隊への入隊を再び目指しはじめる。そんな矢先、カフカはひょんなことから、強大な力を持つ「怪獣8号」に変身してしまう。後輩・市川レノの協力を得て怪獣という正体を隠しながら、防衛隊員の選抜試験や初の実戦を切りぬけ、かつての夢に一歩ずつ近づいていくカフカ。しかし高い知能を持つ謎の怪獣が防衛隊基地を襲撃する事件が起こり、絶望的な状況を前にカフカは重大な決断を迫られる。

同時上映の短編アニメ「保科の休日」では、漫画「食戟のソーマ」の原作者・附田祐斗がストーリー原案、アニメ「Dr.STONE」シリーズの木戸雄一郎が脚本を手がけ、防衛隊の頼れる副隊長・保科宗四郎の意外な休日を描きだす。","宮繁之, 神谷友美",松本直也,"福西勝也, 瀬戸麻沙美, 加藤渉, ファイルーズあい, 河西健吾, 新祐樹, 河本啓佑, 武内駿輔, 千本木彩花, 玄田哲章, 三宅健太, 吉野裕行",,,(C)防衛隊第3部隊 (C)松本直也／集英社,,,
映画 きかんしゃトーマス ぼくのたいせつなともだち,102988,2025,2025/3/28,0.4,洋画,東京テアトル,"イギリスで原作絵本が最初に出版されてから80周年を迎え、世界中で長年にわたり親しまれている児童向けアニメ「きかんしゃトーマス」の劇場版。ソドー島で行われる音楽カーニバルに向け、友情とチームワークでトラブル解決に励むトーマスと仲間たちの姿を描く。

「ピカピカまつり」や「お菓子作り大会」など楽しいイベントが続くソドー島。トーマスたちは腕の見せどころと張り切るが、競争に夢中になったり、お菓子の材料が飛びはねてパーシーが「卵かけパーシー」になってしまったり、トラブルが続出。さらに「ビーチ・カーニバル」用の蒸気オルガンが壊れてしまう。このままではカーニバルに来た人々に、音楽を届けることができない。トーマスと仲間たちは最大のピンチをチームワークで乗り越えようと奮闘する。","ジェイソン・グロー, ショーン・ジェフリー, キャンベル・ブライヤー",ウィルバート・オードリー,"田中美海, 越乃奏, 大久保瑠美, 古賀英里奈, 山藤桃子, 山下七海, 土師亜文, 武内駿輔, 伊東健人, 神尾晋一郎, 岡本幸輔",ニキ・リットン,,(C)2024 Gullane (Thomas) Limited.,,,
ベイビーガール,102161,2025,2025/3/28,0.3,洋画,ハピネットファントム・スタジオ,"ニコール・キッドマンが主演を務め、すべてを手に入れたはずの女性CEOが満たされない欲望をインターンの青年に暴かれていく姿をスリリングに描いたエロティックスリラー。

ニューヨークでCEOとして成功を収めたロミーは、舞台演出家の夫ジェイコブや子どもたちに囲まれ、誰もが羨むような生活を送っていた。ある時、ロミーはインターンの青年サミュエルから目が離せなくなる。サミュエルは彼女の中に眠っていた欲望を見抜いて挑発を仕掛けてくる。行き過ぎた駆け引きをやめさせようとサミュエルに会いに行くロミーだったが、逆に主導権を握られ、2人のパワーバランスは逆転していく。

キッドマンが脚本構想段階から当て書きされたというロミー役を大胆に演じ、2024年・第81回ベネチア国際映画祭でボルピ杯（最優秀女優賞）を受賞。「逆転のトライアングル」のハリス・ディキンソンが年下インターンのサミュエル、「デスペラード」などのアントニオ・バンデラスが夫ジェイコブ、「TALK TO ME トーク・トゥ・ミー」のソフィー・ワイルドがロミーに憧れる部下エスメを演じた。監督・脚本は「BODIES BODIES BODIES ボディーズ・ボディーズ・ボディーズ」のハリナ・ライン。",ハリナ・ライン,,"ニコール・キッドマン, ハリス・ディキンソン, アントニオ・バンデラス, ソフィー・ワイルド, エスター・マクレガー",ハリナ・ライン,,(C)2024 MISS GABLER RIGHTS LLC. ALL RIGHTS RESERVED.,,,
レイブンズ,102307,2025,2025/3/28,0,邦画,アークエンタテインメント,"「イングランド・イズ・マイン　モリッシー、はじまりの物語」で知られるイギリスのマーク・ギル監督が浅野忠信を主演に迎え、世界的に高い評価を受け続ける写真家・深瀬昌久の波瀾万丈な人生と、彼の最愛の妻にして被写体であった洋子との物語を、実話とフィクションを織り交ぜながら描いたダークファンタジーラブストーリー。

北海道の高校を卒業した深瀬昌久は、父の写真館を継がずに上京する。さまよう日々のなかで、深瀬は美しく力に満ちた女性・洋子と恋に落ちる。洋子は深瀬の写真の主題となり、2人はパーソナルでありながら革新的な作品を生みだしていく。家族愛に憧れる深瀬は洋子の夢を支えるため懸命に働くが、ついに彼女の信頼を裏切ってしまう。深瀬の心の闇は異形の“鴉の化身”へと転生し、哲学的な知性で彼を芸術家の道に導こうとする。

天才写真家の狂気と純粋さを浅野が繊細かつワイルドに演じ、「火口のふたり」の瀧内公美が洋子を存在感たっぷりに演じた。",マーク・ギル,,"浅野忠信, 瀧内公美, ホセ・ルイス・フェラー, 古舘寛治, 池松壮亮, 高岡早紀",マーク・ギル,,"(C)Vestapol, Ark Entertainment, Minded Factory, The Y House Films",,,
ミッキー17,98957,2025,2025/3/28,3.1,洋画,ワーナー・ブラザース映画,"「パラサイト　半地下の家族」のポン・ジュノ監督がロバート・パティンソンを主演に迎え、エドワード・アシュトンの小説「ミッキー7」を原作にブラックユーモアたっぷりに描いたSFエンタテインメント。

失敗だらけの人生を送ってきた男ミッキーは、何度でも生まれ変われる“夢の仕事”で一発逆転を狙おうと、契約書をよく読まずにサインしてしまう。しかしその内容は、身勝手な権力者たちの命令に従って危険な任務を遂行し、ひたすら死んでは生き返ることを繰り返す過酷なものだった。文字通りの使い捨てワーカーとして搾取され続ける日々を送るミッキーだったが、ある日手違いによりミッキーの前に彼自身のコピーが同時に現れたことから、彼は反撃に出る。

共演は「ホイットニー・ヒューストン I WANNA DANCE WITH SOMEBODY」のナオミ・アッキー、「NOPE ノープ」のスティーブン・ユァン、「ヘレディタリー　継承」のトニ・コレット、「アベンジャーズ」シリーズのマーク・ラファロ。",ポン・ジュノ,エドワード・アシュトン,"ロバート・パティンソン, ナオミ・アッキー, スティーブン・ユァン, アナマリア・バルトロメイ, トニ・コレット, マーク・ラファロ, パッツィ・フェラン, キャメロン・ブリットン",ポン・ジュノ,,(C)2025 Warner Bros. Ent. All Rights Reserved.,,,
片思い世界,99082,2025,2025/4/4,4.8,邦画,東京テアトル、リトルモア,"「花束みたいな恋をした」の脚本・坂元裕二と監督・土井裕泰が再タッグを組み、広瀬すず、杉咲花、清原果耶の3人を主演に迎え、強い絆で結ばれた3人の女性が織りなす日常と究極の“片思い”を、オリジナル脚本で描きだす。

相楽美咲、片石優花、阿澄さくらの3人は、東京の片隅に建つ古い一軒家で一緒に暮らしている。それぞれ仕事、学校、アルバイトへ毎日出かけていき、帰ってきたら3人で一緒に晩ごはんを食べる。リビングでおしゃべりをして、同じ寝室で眠り、朝になったら一緒に歯磨きをする。家族でも同級生でもない彼女たちだったが、お互いのことを思いあいながら、楽しく気ままな3人だけの日々を過ごしている。もう12年、ある理由によって強い絆で結ばれてきた3人には、それぞれが抱える“片思い”があった……。

3人と同じ記憶を胸に秘める青年・高杉典真を横浜流星が演じ、小野花梨、伊島空、ロックバンド「moonriders」、田口トモロヲ、西田尚美が共演。",土井裕泰,,"広瀬すず, 杉咲花, 清原果耶, 横浜流星, 小野花梨, 伊島空, moonriders, 田口トモロヲ, 西田尚美",坂元裕二,土井智生,(C)2025「片思い世界」製作委員会,,,
おいしくて泣くとき,102930,2025,2025/4/4,1.8,邦画,松竹,"アイドルグループ「なにわ男子」の長尾謙杜が劇場映画初主演を務め、人気小説家・森沢明夫の同名長編を映画化したラブストーリー。同じく森沢明夫原作の映画「大事なことほど小声でささやく」も手がけた横尾初喜監督がメガホンをとり、男女の突然の別れに隠された秘密をめぐる物語を描く。

幼い頃に母を亡くした心也と、家に居場所がない同級生の夕花。学級新聞の編集委員を任された2人は、最初はぎくしゃくするも次第に打ち解け、2人だけで「ひま部」を結成する。それぞれ孤独を抱える心也と夕花は距離を縮めていくが、ある事件をきっかけに夕花は姿を消し、心也は行き場のない思いを抱えたまま、交わした約束を胸に彼女を待つ。突然の別れから30年が経ったある日、夕花の秘密が明かされる。

アニメ映画「かがみの孤城」で主人公の声優を務めた當真あみがヒロインを務め、子ども食堂を切り盛りする心也の父・耕平を安田顕、心也の亡き母・南を美村里江、父の想いを受け継いで子ども食堂を守る30年後の心也をディーン・フジオカが演じた。",横尾初喜,森沢明夫,"長尾謙杜, 當真あみ, 水沢林太郎, 芋生悠, 池田良, 田村健太郎, 篠原ゆき子, 安藤玉恵, 尾野真千子, 美村里江, 安田顕, ディーン・フジオカ",いとう菜のは,竹内絵唱,(C)2025映画「おいしくて泣くとき」製作委員会,,,
ナタ 魔童の大暴れ,103459,2025,2025/4/4,0.4,洋画,⾯⽩映画,"日本でも親しまれている中国古典小説「封神演義」や「西遊記」に登場する神話のキャラクターで、「哪吒太子」の名で知られるナタ（哪吒）を主役に描いた中国製3DCGアニメ映画。2019年に中国で公開されて大ヒットを記録した「ナタ　魔童降臨」の続編。

育て上げれば仙人となるはずのナタは、何者かの陰謀によって世を混乱させる魔王となる宿命を背負いながら生まれた。孤独を抱えながらも、両親に愛情を注がれ、少しずつ成長していくナタ。やがて彼は東海竜王・敖光（ごうこう）の息子・敖丙（ごうへい）と唯一無二の親友となる。だがそんな2人に、ある試練が待ち受けていた。",ジャオズ,,"リュー・イェンティン, ジョンセンセフ, ハンモー, チェン・ハオ, リューチー, チャン・ジャーミン, ヤン・ウェイ, ワン・デーシュン",,,プロデュース＆製作；可可豆動画 彩条屋影業,,,
＝LOVE 7th ANNIVERSARY PREMIUM CONCERT THE MOVIE,102593,2025,2025/4/4,0.3,洋画,エイベックス・ピクチャーズ,"指原莉乃プロデュースの人気女性アイドルグループ「＝LOVE」の7周年コンサートを収録したライブドキュメンタリー。

2017年9月にメジャーデビューし、歌唱力やパフォーマンス、そして王道アイドルらしいかわいさで人気を集める「＝LOVE（イコールラブ）」。そんな彼女たちが2024年9月8日、Kアリーナ横浜でデビュー7周年を記念したコンサート「＝LOVE 7th ANNIVERSARY PREMIUM CONCERT」を開催した。7周年コンサートならではのセットリストと、バンドや弦楽四重奏の演奏など、大規模かつ豪華な演出で観客を魅了し、2日間で約3万6000人を動員。「＝LOVE」にとって過去最大規模の単独コンサートとなった。

本作では、そんな7周年コンサートの模様を余すことなく収録。かぼちゃの馬車を模したステージや客席に降り注ぐ大量の風船など、メルヘンで幻想的な空間だけでなく、魔法少女をイメージさせる鮮やかな衣装や猫に扮したメンバーたちの華やかなパフォーマンスの数々を、映画専用のシネマティックカメラ5台、ハンディカムカメラ3台で撮影。メンバーそれぞれの真剣な表情やかわいらしさを映画館の大画面に映し出し、ライブ会場にいるかのような臨場感を届ける。",オ・ユンドン,,"大谷映美里, 大場花菜, 音嶋莉沙, 齋藤樹愛羅, 佐々木舞香, 髙松瞳, 瀧脇笙古, 野口衣織, 諸橋沙夏, 山本杏奈",,,"(C)2025, YOYOGI ANIMATION ACADEMY INC. & CJ 4DPLEX All Rights Reserved.",,,
HERE 時を越えて,102818,2025,2025/4/4,0.2,洋画,キノフィルムズ,"「フォレスト・ガンプ　一期一会」のロバート・ゼメキス監督とトム・ハンクス、ロビン・ライトが再結集し、リチャード・マグワイアの傑作グラフィックノベル「HERE ヒア」を映画化した壮大なドラマ。地球上のある地点にカメラを固定し、その場所に生きる幾世代もの家族の愛と喪失、記憶と希望を描く。

恐竜が駆け抜け、氷河期を迎え、オークの木が育ち、先住民族の男女が出会う。やがてその場所に家が建てられ、いくつもの家族が入居しては出ていく。1945年、戦地から帰還したアルと妻ローズがその家を購入し、息子リチャードが誕生する。世界が急速に変化していくなか、絵を描くことが得意なリチャードはアーティストを夢見るように。高校生になったリチャードは別の学校に通う弁護士志望のマーガレットと恋に落ち、2人の思いがけない人生が始まる。

ハンクスがリチャード役、ライトがマーガレット役を務め、最新VFXの技術を駆使しながら、それぞれの10代～70代の姿を演じた。",ロバート・ゼメキス,リチャード・マグワイア,"トム・ハンクス, ロビン・ライト, ポール・ベタニー, ケリー・ライリー, ミシェル・ドッカリー",エリック・ロス,,"(C)2024 Miramax Distribution Services, LLC. All Rights Reserved.",,,
終わりの鳥,103353,2025,2025/4/4,0.2,洋画,ハピネットファントム・スタジオ,"命の終わりを告げる鳥と対峙する母娘を描いた奇想天外なドラマ。クロアチア出身の新鋭ダイナ・O・プスィッチが長編初メガホンをとり、“死”という概念を独創的な映像表現で視覚化。病気の少女とその母親が奇妙な鳥との出会いを通して、間もなく訪れるであろう別れを受け止めていく姿を、ユーモアを交えながら描きだす。

病に侵され余命わずかな15歳の少女チューズデー。母ゾラと暮らす彼女の前に、しゃべって歌う変幻自在な1羽の鳥が舞い降りる。それは地球を周回して生きものに命の終わりを告げる「デス」という名の鳥だった。チューズデーはデスをジョークで笑わせ、外出中のゾラが帰ってくるまで自分の命を引き延ばすことに成功する。やがて帰宅したゾラは鳥の存在に畏れおののき、愛する娘のもとから遠ざけるべく暴挙に出るが……。

「恋人はアンバー」のローラ・ペティクルーがチューズデー、テレビドラマ「Veep ヴィープ」のジュリア・ルイス＝ドレイファスが母ゾラを演じた。",ダイナ・O・プスィッチ,,"ジュリア・ルイス＝ドレイファス, ローラ・ペティクルー, リア・ハーベイ, アリンゼ・ケニ",ダイナ・O・プスィッチ,,(C)DEATH ON A TUESDAYLLC/THE BRITISH FILM INSTITUTE/BRITISH BROADCASTING CORPORATION 2024,,,
アンジェントルメン,101659,2025,2025/4/4,0.1,洋画,KADOKAWA,"「ジェントルメン」「スナッチ」のガイ・リッチー監督が、第2次世界大戦中のイギリスでチャーチル首相もと非公式に結成された特殊部隊の戦いを活写したスパイアクション。

第2次世界大戦中、英国はナチス軍の猛攻により窮地に追い込まれていた。特殊作戦執行部に呼び出されたガス少佐は、ガビンズ“M”少将とその部下イアン・フレミングから、「英国軍にもナチスにも見つからずに、北大西洋上のUボートを無力化する」という高難度の任務を命じられる。型破りな仲間たちを集めて船で現地へ向かったガス少佐は、作戦決行へ向けて準備を進めていくが、思わぬ事態が起こり……。

特殊部隊の創設にもかかわった海軍情報将校イアン・フレミングが、後に作家となり生み出したジェームズ・ボンドのモデルになったと言われる主人公ガス・マーチ＝フィリップスを、ヘンリー・カビルが演じた。そのほか、「ベイビー・ドライバー」のエイザ・ゴンザレス、「ワイルド・スピード　ファイヤーブースト」のアラン・リッチソン、「クレイジー・リッチ！」のヘンリー・ゴールディングが共演。「トップガン　マーヴェリック」のプロデューサー、ジェリー・ブラッカイマーが製作に名を連ねた。",ガイ・リッチー,ダミアン・ルイス,"ヘンリー・カビル, エイザ・ゴンザレス, アラン・リッチソン, アレックス・ペティファー, ヒーロー・ファインズ・ティフィン, バブス・オルサンモクン, エンリケ・ザガ, ティル・シュワイガー, ヘンリー・ゴールディング, ダニー・サパーニ, ケイリー・エルウィズ, フレディ・フォックス, ロリー・キニア",ポール・タマシー,,(C)2024 Postmaster Productions Limited. All Rights Reserved.,,,
アマチュア,102980,2025,2025/4/11,4.6,洋画,ディズニー,"「ボヘミアン・ラプソディ」でアカデミー賞を受賞したラミ・マレックが主演を務め、戦闘や暗殺については素人のCIA職員の男が、殺された妻の復讐に乗り出す姿を描いたアクションサスペンス。

内気な性格で愛妻家のチャーリー・ヘラーは、CIA本部でサイバー捜査官として働いているが、暗殺の経験もないデスクワーカーだ。最愛の妻とともに平穏な日々を過ごしていたが、ある日、無差別テロ事件で妻を失ったことで、彼の人生は様変わりする。テロリストへの復讐を決意したチャーリーは、特殊任務の訓練を受けるが、教官であるヘンダーソンに「お前に人は殺せない」と諭されてしまう。組織の協力も得られない中、チャーリーは彼ならではの方法でテロリストたちを追い詰めていくが、事件の裏には驚くべき陰謀が潜んでいた。

原作は、スパイ小説を多く手がける作家ロバート・リテルの小説。監督はドラマ「窓際のスパイ」や映画「ONE LIFE 奇跡が繋いだ6000の命」を手がけてきたジェームズ・ホーズ。主人公チャーリーをラミ・マレックが演じ、上官のヘンダーソン役で「マトリックス」のローレンス・フィッシュバーンが共演。",ジェームズ・ホーズ,ロバート・リテル,"ラミ・マレック, レイチェル・ブロズナハン, カトリーナ・バルフ, ジョン・バーンサル, マイケル・スタールバーグ, ホルト・マッキャラニー, ジュリアンヌ・ニコルソン, エイドリアン・マルティネス, ダニー・サパーニ, ローレンス・フィッシュバーン",ケン・ノーラン,,(C)2024 20th Century Studios. All Rights Reserved.,,,
ヤマトよ永遠に REBEL3199 第三章 群青のアステロイド,102954,2025,2025/4/11,1.1,邦画,松竹ODS事業室,"名作アニメ「宇宙戦艦ヤマト」のリメイクシリーズの1作で、1980年公開の劇場映画第3作「ヤマトよ永遠（とわ）に」に新解釈を加えて再構成した「ヤマトよ永遠に REBEL3199」全7章（全26話）のうちの第3章。

宇宙戦艦ヤマトが不在となった地球では、地球進駐計画に基づき入植してきたデザリアムと市井の人々が共存する奇妙な日常が始まった。戦死した加藤三郎の息子・翼が通う小学校にも、デザリアムの少女フルールが転入してくる。デザリアムたちは次第に周囲になじみ、地球の人々はそれを受け入れるようになっていく。そんな中、旧ヤマト艦隊クルーを中心とするパルチザンはデザリアムの正体を世間に訴えるべく、大規模な反抗作戦を企てる。一方、宇宙戦艦ヤマトは透明戦艦グロデーズの追撃を振り切ってガルマン星系に立ち入ろうとしていた。",福井晴敏,西﨑義展,"小野大輔, 桑島法子, 潘めぐみ, 大塚芳忠, 鈴村健一, 畠中祐, 上村祐翔, 鳥海浩輔, 松本忍, 塩田朋子, 林原めぐみ, 高垣彩陽, 玄田哲章, 小島敏彦, 古川慎, 堀江瞬, 江口拓也, 井上麻里奈, 内田直哉",福井晴敏,,(C)西﨑義展／宇宙戦艦ヤマト3199製作委員会,,,
ブリジット・ジョーンズの日記 サイテー最高な私の今,103161,2025,2025/4/11,1.1,洋画,東宝東和,"レネー・ゼルウィガー主演の世界的ヒット作「ブリジット・ジョーンズの日記」シリーズの9年ぶりの続編となる第4作。

4年前、最愛の夫マークがスーダンでの人道支援活動中に命を落とし、深い悲しみを抱えながらシングルマザーとして2人の子どもを育てるブリジット。自分の欲を捨てて全力で子育てに専念してきたが、親友たちや元恋人ダニエルに支えられ、テレビ局の仕事に復帰することに。そんなある日、ブリジットは公園で出会った29歳の男性ロクスターとアプリでつながり、距離を縮めていく。その一方で、厳しい理科教師ミスター・ウォーラカーが息子ビリーに向ける真摯な優しさを知り、どこか気になる存在に。子育てや仕事に追われながら、子どもたちに「いつでもマークが恋しい」と話すブリジットだったが……。

ドラマ「プライム・ターゲット　狙われた数列」のレオ・ウッドールがロクスター、「それでも夜は明ける」のキウェテル・イジョフォーがウォーラカーを演じ、ダニエル役のヒュー・グラントらおなじみの顔ぶれも登場。「To Leslie トゥ・レスリー」のマイケル・モリス監督がメガホンをとった。",マイケル・モリス,ヘレン・フィールディング,"レネー・ゼルウィガー, ヒュー・グラント, キウェテル・イジョフォー, レオ・ウッドール, コリン・ファース, エマ・トンプソン, ジェマ・ジョーンズ, ジム・ブロードベント, カスパー・クノプフ, ミラ・ヤンコビッチ, アイラ・フィッシャー, ニコ・パーカー, ジョゼッテ・シモン, サラ・ソルマーニ, サリー・フィリップス, シャーリー・ヘンダーソン, ジェームズ・キャリス, ニール・ピアソン, レイラ・ファーザド",ヘレン・フィールディング,,(C)2025Universal Pictures,,,
